1/12/25,2/12/25,3/12/25,4/12/25,5/12/25,6/12/25,7/12/25,8/12/25,9/12/25,10/12/25,11/12/25,12/12/25,13/12/25,14/12/25,15/12/25,16/12/25,17/12/25,18/12/25,19/12/25,20/12/25,21/12/25,22/12/25,23/12/25,24/12/25,25/12/25,26/12/25,27/12/25,28/12/25,29/12/25,30/12/25,31/12/25
A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS,A10-GS
A20-GS,A21-GS,A20-GS,A21-GS,A20-GS,A21-GS,A21-GS,A20-GS,A21-GS,A20-GS,A21-GS,A20-GS,A21-GS,A21-GS,A20-GS,A21-GS,A20-GS,A21-GS,A20-GS,A21-GS,A21-GS,A20-GS,A21-GS,A20-GS,A21-GS,A20-GS,A21-GS,A21-GS,A20-GS,A21-GS,A20-GS
A20-GS,A21-GS,A20-GS,A21-GS,A20-GS,A21-GS,A21-GS,A20-GS,A21-GS,A20-GS,A21-GS,A20-GS,A21-GS,A21L-GS,A20-GS,A21-GS,A20-GS,A21-GS,A20-GS,A21-GS,A21-GS,A20-GS,A21-GS,A20-GS,A21-GS,A20-GS,A21-GS,A21-GS,A20-GS,A21-GS,A20-GS
A30-GS,A32-GS,A40-GS,A32-GS,A30-GS,A32-GS,A32-GS,A30-GS,A32-GS,A40-GS,A32-GS,A30-GS,A32-GS,A32L-GS,A30-GS,A32-GS,A40-GS,A32-GS,A30-GS,A32-GS,A32-GS,A30-GS,A32-GS,A30-GS,A32-GS,A30-GS,A32-GS,A32-GS,A30-GS,A32-GS,A30-GS
A31-GS,A32-GS,A40-GS,A32-GS,A31-GS,A32-GS,A32-GS,A31-GS,A32-GS,A40-GS,A32-GS,A31-GS,A32-GS,A32L-GS,A31-GS,A32-GS,A40-GS,A32-GS,A31-GS,A32-GS,A32-GS,A31-GS,A32-GS,A31-GS,A32-GS,A31-GS,A32-GS,A32-GS,A31-GS,A32-GS,A31-GS
A40-GS,BR1-GS,A50-GS,BR1-GS,A40-GS,A50-GS,A50-GS,A40-GS,BR1-GS,A50-GS,BR1-GS,A40-GS,A50L-GS,A50L1-GS,A40-GS,BR1-GS,A50-GS,BR1-GS,A40-GS,A50L2-GS,A50L1-GS,A40-GS,BR1-GS,A40-GS,BR1-GS,A40-GS,A50-GS,A50L1-GS,A40-GS,BR1-GS,A40-GS
A40-GS,BR2-GS,A50-GS,BR2-GS,A40-GS,A50-GS,A50-GS,A40-GS,BR2-GS,A50-GS,BR2-GS,A40-GS,A50L-GS,A50L1-GS,A40-GS,BR2-GS,A50-GS,BR2-GS,A40-GS,A50L2-GS,A50L1-GS,A40-GS,BR2-GS,A40-GS,BR2-GS,A40-GS,A50-GS,A50L1-GS,A40-GS,BR2-GS,A40-GS
A50-GS,A50-GS,BR1-GS,A50-GS,A50-GS,BR1-GS,BR1-GS,A50-GS,A50-GS,BR1-GS,A50-GS,A50-GS,BR1-GS,BR1-GS,A50-GS,A50-GS,BR1-GS,A50-GS,A50-GS,BR1-GS,BR1-GS,A50-GS,A50-GS,A50-GS,A50-GS,A50-GS,BR1-GS,BR1-GS,A50-GS,A50-GS,A50-GS
A50-GS,A50-GS,BR2S-GS,A50-GS,A50-GS,BR2G-GS,BR2G-GS,A50-GS,A50-GS,BR2S-GS,A50-GS,A50-GS,BR2G-GS,BR2G-GS,A50-GS,A50-GS,BR2S-GS,A50-GS,A50-GS,BR2G-GS,BR2G-GS,A50-GS,A50-GS,A50-GS,A50-GS,A50-GS,BR2G-GS,BR2G-GS,A50-GS,A50-GS,A50-GS
BR1-GS,C10-GS,C30-GS,C10-GS,BR1-GS,C10-GS,C10-GS,BR1-GS,C10-GS,C30-GS,C10-GS,BR1-GS,C10-GS,C10-GS,BR1-GS,C10-GS,C30-GS,C10-GS,BR1-GS,C10-GS,C10-GS,BR1-GS,C10-GS,BR1-GS,C10-GS,BR1-GS,C10-GS,C10-GS,BR1-GS,C10-GS,BR1-GS
